country,Population,date,HighestInfectionCount,PercentPopulationInfected
Japan,124997585,2020-05-18,16305,0.01304425201
India,1425423209,2020-05-18,96169,0.006746698061
United Kingdom,68179315,2020-05-18,227683,0.333947327
China,1425179562,2020-05-19,84500,0.005929077448
United Kingdom,68179315,2020-05-19,229520,0.3366416926
Russia,145579889,2020-05-19,299941,0.2060318922
India,1425423209,2020-05-19,101139,0.00709536644
United States,341534041,2020-05-19,1518659,0.4446581651
Japan,124997585,2020-05-19,16365,0.01309225294
Mexico,128613116,2020-05-19,73078,0.05682002137
United States,341534041,2020-05-20,1541403,0.4513175306
